property_id,url,title,location,price_preview,bedrooms_preview,bathrooms_preview,city,property_type
019a9206-1601-772d-a958-4f883572bc0c,https://www.lamudi.com.ph/property/41032-73-4f883572bc55-164a-19a924f-a9a1-7776,Condo For Rent in Antonio Arnaiz Avenue,"Antonio Arnaiz Avenue, Makati",120000.0,2,,makati,condo
019a9197-4ab3-7631-bd2e-f7e382bf5b0c,https://www.lamudi.com.ph/property/41032-73-f7e382bf5b55-4afc-19a91e0-bd77-767a,Condo For Rent in Bel-Air,"Bel-Air, Makati",180000.0,3,3,makati,condo
019a90d0-66d5-716c-8749-2d3b25d9a423,https://www.lamudi.com.ph/property/41032-73-2d3b25d9a46c-671e-19a9119-8792-71b5,Condo For Rent in Legazpi Village,"Legazpi Village, Makati",65000.0,1,1,makati,condo
019a906c-4cab-7729-8499-53fba7aa835c,https://www.lamudi.com.ph/property/41032-73-53fba7aa83a5-4cf4-19a90b5-84e2-7772,Studio For Rent in Bel-Air,"Bel-Air, Makati",28000.0,,1,makati,condo
019a905f-c1ff-7029-85a3-5c4ae8ad8e19,https://www.lamudi.com.ph/property/41032-73-5c4ae8ad8e62-c248-19a90a8-85ec-7072,Condo For Rent in Antonio Arnaiz Avenue,"Antonio Arnaiz Avenue, Makati",165000.0,2,2,makati,condo
019a905d-3ee6-7358-9d42-3504213f4b90,https://www.lamudi.com.ph/property/41032-73-3504213f4bd9-3f2f-19a90a6-9d8b-73a1,Condo For Rent in Antonio Arnaiz Avenue,"Antonio Arnaiz Avenue, Makati",150000.0,2,2,makati,condo
019a9059-74a3-75b9-988c-ad8fbe19d196,https://www.lamudi.com.ph/property/41032-73-ad8fbe19d1df-74ec-19a90a2-98d5-7602,Condo For Rent in Poblacion,"Poblacion, Pateros",70000.0,1,1,makati,condo
019a9050-53b1-75d8-aa69-5417153f16f2,https://www.lamudi.com.ph/property/41032-73-5417153f173b-53fa-19a9099-aab2-7621,Condo For Rent in Antonio Arnaiz Avenue,"Antonio Arnaiz Avenue, Makati",95000.0,1,1,makati,condo
019a9044-b359-7f24-b2ed-151656b46bba,https://www.lamudi.com.ph/property/41032-73-151656b46c03-b3a2-19a908d-b336-7f6d,Condo For Rent in Guadalupe Viejo,"Guadalupe Viejo, Makati",260000.0,3,3,makati,condo
019a9037-8087-744a-8060-99b772ac110f,https://www.lamudi.com.ph/property/41032-73-99b772ac1158-80d0-19a9080-80a9-7493,Condo For Rent in Poblacion,"Poblacion, Pateros",120000.0,2,2,makati,condo
019a900b-db48-7621-a8b3-f36ed735a3c7,https://www.lamudi.com.ph/property/41032-73-f36ed735a410-db91-19a9054-a8fc-766a,Condo For Rent in Poblacion,"Poblacion, Pateros",70000.0,1,1,makati,condo
019a8ff8-f684-749a-b7d9-146b37b13a63,https://www.lamudi.com.ph/property/41032-73-146b37b13aac-f6cd-19a9041-b822-74e3,Condo For Rent in Poblacion,"Poblacion, Pateros",85000.0,1,1,makati,condo
019a8fcd-0399-70b5-8fbd-b0566e8e4bca,https://www.lamudi.com.ph/property/41032-73-b0566e8e4c13-3e2-19a9016-9006-70fe,Condo For Rent in Guadalupe Viejo,"Guadalupe Viejo, Makati",80000.0,1,1,makati,condo
019a8f71-85d0-705f-9953-e89839131b73,https://www.lamudi.com.ph/property/41032-73-e89839131bbc-8619-19a8fba-999c-70a8,Condo For Rent in Bel-Air,"Bel-Air, Makati",120000.0,2,2,makati,condo
019a8f41-245a-7bfa-acce-4d1551c283bc,https://www.lamudi.com.ph/property/41032-73-4d1551c28405-24a3-19a8f8a-ad17-7c43,Condo For Rent in Poblacion,"Poblacion, Pateros",85000.0,2,2,makati,condo
01953c27-87c3-7114-9af0-9da3aba71866,https://www.lamudi.com.ph/property/41032-73-9da3aba718af-880c-1953c70-9b39-715d,Condo For Sale in Plainview,"Plainview, Mandaluyong",,,1,mandaluyong,condo
01953af5-415e-7663-ba51-4b20f42bb329,https://www.lamudi.com.ph/property/41032-73-4b20f42bb372-41a7-1953b3e-ba9a-76ac,Condo For Rent in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",105000.0,1,1,mandaluyong,condo
01953739-ff95-7cc6-8952-f990d0485548,https://www.lamudi.com.ph/property/41032-73-f990d0485591-ffde-1953782-899b-7d0f,Condo For Sale in Plainview,"Plainview, Mandaluyong",25000.0,,1,mandaluyong,condo
0195274e-5ed4-7cc5-895e-8470ff5ba991,https://www.lamudi.com.ph/property/41032-73-8470ff5ba9da-5f1d-1952797-89a7-7d0e,Condo For Rent in Highway Hills,"Highway Hills, Mandaluyong",40000.0,2,2,mandaluyong,condo
0194fe44-00c8-7990-aec7-433a272dd45c,https://www.lamudi.com.ph/property/41032-73-433a272dd4a5-111-194fe8d-af10-79d9,Condo For Sale in Mandaluyong,"Mandaluyong, Metro Manila",75000.0,3,2,mandaluyong,condo
0194afcd-90b1-7eea-b554-3d679acf5b59,https://www.lamudi.com.ph/property/41032-73-3d679acf5ba2-90fa-194b016-b59d-7f33,Studio For Rent in Plainview,"Plainview, Mandaluyong",14000.0,,1,mandaluyong,condo
01946d6b-0459-7223-a3ea-58719c9fd321,https://www.lamudi.com.ph/property/41032-73-58719c9fd36a-4a2-1946db4-a433-726c,Condo For Sale in Highway Hills,"Highway Hills, Mandaluyong",20000.0,1,1,mandaluyong,condo
01945473-35f6-7ffb-a805-d40e8a5f47a5,https://www.lamudi.com.ph/property/41032-73-d40e8a5f47ee-363f-19454bc-a84e-8044,Condo For Sale in Barangka Ilaya,"Barangka Ilaya, Mandaluyong",,,1,mandaluyong,condo
0193b8da-9354-7337-8729-16d04175942d,https://www.lamudi.com.ph/property/41032-73-16d041759476-939d-193b923-8772-7380,Condo For Rent in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",80000.0,1,2,mandaluyong,condo
01936ce8-70b8-7556-b088-16ad4b8ecd15,https://www.lamudi.com.ph/property/41032-73-16ad4b8ecd5e-7101-1936d31-b0d1-759f,Condo For Rent in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",150000.0,1,2,mandaluyong,condo
01934832-5c7c-788c-b3b0-1c808a5fee7c,https://www.lamudi.com.ph/property/41032-73-1c808a5feec5-5cc5-193487b-b3f9-78d5,Condo For Sale in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",600.0,,1,mandaluyong,condo
01929dfb-7ed8-7555-b7f4-45bace2671cf,https://www.lamudi.com.ph/property/41032-73-45bace267218-7f21-1929e44-b83d-759e,Condo For Rent in Malamig,"Malamig, Mandaluyong",25000.0,1,1,mandaluyong,condo
019293c9-ea8b-7880-afc5-5ebad8494622,https://www.lamudi.com.ph/property/41032-73-5ebad849466b-ead4-1929412-b00e-78c9,Condo For Rent in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",140000.0,2,2,mandaluyong,condo
01926ef5-91c4-700e-b5be-abef2af489d9,https://www.lamudi.com.ph/property/41032-73-abef2af48a22-920d-1926f3e-b607-7057,Condo For Rent in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",250000.0,3,3,mandaluyong,condo
019265ba-106b-7007-81aa-1c894c7d4890,https://www.lamudi.com.ph/property/41032-73-1c894c7d48d9-10b4-1926603-81f3-7050,Condo For Rent in Boni Avenue,"Boni Avenue, Mandaluyong",25000.0,1,1,mandaluyong,condo
019246d3-98be-7aaa-b86d-110abefd533a,https://www.lamudi.com.ph/property/41032-73-110abefd5383-9907-192471c-b8b6-7af3,Condo For Rent in Buayang Bato,"Buayang Bato, Mandaluyong",45000.0,2,1,mandaluyong,condo
01922dba-26ec-7ee1-97d4-aa5fd6ded7d8,https://www.lamudi.com.ph/property/41032-73-aa5fd6ded821-2735-1922e03-981d-7f2a,Condo For Sale in Wack-Wack Greenhills,"Wack-Wack Greenhills, Mandaluyong",160000.0,3,,mandaluyong,condo
0192275e-2ba8-7ee7-89f6-467362f71f2a,https://www.lamudi.com.ph/property/41032-73-467362f71f73-2bf1-19227a7-8a3f-7f30,Condo For Rent in Barangka Ilaya,"Barangka Ilaya, Mandaluyong",35000.0,1,1,mandaluyong,condo
